,Naam,Aanbevolen door,Aantal stemmen,Procentueel,District,Verkiezingdatum,Type,Omvang electoraat,Opkomst,Aantal stembriefjes,Aantal stemmen geldig,Aantal stemmen blanco,Aantal zetels,Kiesdrempel
6205,mr. J.W.H.M. van Idsinga,VA(Ka),2034,33.74%,Bodegraven,14/06/1901,algemeen,7160,-,6115,6028,87,1,3014
6206,J.H. de Waal Malefijt,AR,1519,25.20%,Bodegraven,14/06/1901,algemeen,7160,-,6115,6028,87,1,3014
6207,mr. J.W.H.M. van Idsinga,VA(Ka/AR),3675,58.34%,Bodegraven,27/06/1901,herstemming,7160,-,6332,6299,33,1,3150
6208,A. Knijff,Lib(VL/VD/SDAP),2624,41.66%,Bodegraven,27/06/1901,herstemming,7160,-,6332,6299,33,1,3150
6209,mr. G.J. Goekoop,VL(Lib),1979,43.88%,Brielle,14/06/1901,algemeen,5505,-,4558,4510,48,1,2255
6210,H.C. Vegtel,AR(Ka),1936,42.93%,Brielle,14/06/1901,algemeen,5505,-,4558,4510,48,1,2255
6211,L.M. Hermans,SDAP,595,13.19%,Brielle,14/06/1901,algemeen,5505,-,4558,4510,48,1,2255
6212,mr. G.J. Goekoop,VL(Lib/VD),2446,50.62%,Brielle,27/06/1901,herstemming,5505,-,4878,4832,46,1,2416
6213,H.C. Vegtel,AR(Ka/VA),2386,49.38%,Brielle,27/06/1901,herstemming,5505,-,4878,4832,46,1,2416
6214,mr. H.A. van de Velde,AR(Ka/VA),2464,58.42%,Delft,14/06/1901,algemeen,5661,-,4274,4218,56,1,2109
6215,jhr.mr. W.T.C. van Doorn,Lib(VL),1196,28.35%,Delft,14/06/1901,algemeen,5661,-,4274,4218,56,1,2109
6216,J.A. Bergmeyer,SDAP,558,13.23%,Delft,14/06/1901,algemeen,5661,-,4274,4218,56,1,2109
6217,S.M.H. van Gijn,Lib(VL),2100,45.00%,Dordrecht,14/06/1901,algemeen,6161,-,4734,4667,67,1,2334
6218,mr. J.M. Rens,AR(Ka),1804,38.65%,Dordrecht,14/06/1901,algemeen,6161,-,4734,4667,67,1,2334
6219,J.A. Bergmeyer,SDAP,763,16.35%,Dordrecht,14/06/1901,algemeen,6161,-,4734,4667,67,1,2334
6220,S.M.H. van Gijn,Lib(VL/VD),2565,51.51%,Dordrecht,27/06/1901,herstemming,6161,-,5028,4980,48,1,2490
6221,mr. J.M. Rens,AR(Ka/VA),2415,48.49%,Dordrecht,27/06/1901,herstemming,6161,-,5028,4980,48,1,2490
6222,H. Seret,AR(Ka),2432,62.78%,Gorinchem,14/06/1901,algemeen,5910,-,4039,3874,165,1,1937
6223,D. de Klerk,Lib(VL),1210,31.23%,Gorinchem,14/06/1901,algemeen,5910,-,4039,3874,165,1,1937
6224,mr. Th. Heemskerk,AR(VA),1818,37.57%,Gouda,14/06/1901,algemeen,6072,-,4917,4839,78,1,2420
6225,mr. C.J.E. graaf van Bylandt,VL(Lib),1588,32.82%,Gouda,14/06/1901,algemeen,6072,-,4917,4839,78,1,2420
6226,J.H. de Waal Malefijt,AR(Ka),712,14.71%,Gouda,14/06/1901,algemeen,6072,-,4917,4839,78,1,2420
6227,F. Mol,VD,508,10.50%,Gouda,14/06/1901,algemeen,6072,-,4917,4839,78,1,2420
6228,dr. H. Gorter,SDAP,213,4.40%,Gouda,14/06/1901,algemeen,6072,-,4917,4839,78,1,2420
6229,mr. Th. Heemskerk,AR(Ka/VA),2769,54.71%,Gouda,27/06/1901,herstemming,6072,-,5085,5061,24,1,2531
6230,mr. C.J.E. graaf van Bylandt,VL(Lib/VD),2292,45.29%,Gouda,27/06/1901,herstemming,6072,-,5085,5061,24,1,2531
6231,J. Krap,AR(Ka),1643,40.51%,Den Haag I,14/06/1901,algemeen,6345,-,4149,4056,93,1,2028
6232,mr. W. Dolk,Lib,1307,32.22%,Den Haag I,14/06/1901,algemeen,6345,-,4149,4056,93,1,2028
6233,J.A. Bergmeyer,SDAP,681,16.79%,Den Haag I,14/06/1901,algemeen,6345,-,4149,4056,93,1,2028
6234,mr. D. van Houten,VL,344,8.48%,Den Haag I,14/06/1901,algemeen,6345,-,4149,4056,93,1,2028
6235,F. Mol,VD,81,2.00%,Den Haag I,14/06/1901,algemeen,6345,-,4149,4056,93,1,2028
6236,J. Krap,AR(Ka/VA),2172,50.09%,Den Haag I,27/06/1901,herstemming,6345,-,4376,4336,40,1,2168
6237,mr. W. Dolk,Lib(VL/VD/SDAP),2164,49.91%,Den Haag I,27/06/1901,herstemming,6345,-,4376,4336,40,1,2168
6238,J.F.W. Conrad,VL(Lib),2536,55.59%,Den Haag II,14/06/1901,algemeen,6809,-,4640,4562,78,1,2281
6239,W.B. van Liefland,Ka(AR),1862,40.82%,Den Haag II,14/06/1901,algemeen,6809,-,4640,4562,78,1,2281
6240,P.J. in de Betou,VD,164,3.59%,Den Haag II,14/06/1901,algemeen,6809,-,4640,4562,78,1,2281
6241,J.M. Pijnacker Hordijk,Lib(VD),2434,53.71%,Den Haag III,14/06/1901,algemeen,7014,-,4605,4532,73,1,2266
6242,G.J.C.A. Pop,Lib(VL/Ka),1331,29.37%,Den Haag III,14/06/1901,algemeen,7014,-,4605,4532,73,1,2266
6243,A. Hoogenraad,AR,767,16.92%,Den Haag III,14/06/1901,algemeen,7014,-,4605,4532,73,1,2266
6244,mr. P.J.M. Aalberse,Ka,2347,42.60%,Katwijk,14/06/1901,algemeen,6568,-,5705,5510,195,1,2755
6245,mr. O.J.E. baron van Wassenaer van Catwijck,VA,1439,26.12%,Katwijk,14/06/1901,algemeen,6568,-,5705,5510,195,1,2755
6246,mr. S. baron van Heemstra 2,AR,1401,25.43%,Katwijk,14/06/1901,algemeen,6568,-,5705,5510,195,1,2755
6247,H.H. van Waveren,Lib(VL),323,5.86%,Katwijk,14/06/1901,algemeen,6568,-,5705,5510,195,1,2755
6248,mr. O.J.E. baron van Wassenaer van Catwijck,VA(AR),3053,54.26%,Katwijk,27/06/1901,herstemming,6568,-,5648,5627,21,1,2814
6249,mr. P.J.M. Aalberse,Ka,2574,45.74%,Katwijk,27/06/1901,herstemming,6568,-,5648,5627,21,1,2814
6250,A.E. van Kempen,AR(Ka),2164,54.55%,Leiden,14/06/1901,algemeen,4741,-,4021,3967,54,1,1984
6251,mr. H.L. Drucker,VD(Lib),1084,27.33%,Leiden,14/06/1901,algemeen,4741,-,4021,3967,54,1,1984
6252,mr. W. van der Kaay,VL,722,18.20%,Leiden,14/06/1901,algemeen,4741,-,4021,3967,54,1,1984
6253,jhr. J.W.J.C.M. van Nispen tot Sevenaer,Ka,2106,39.28%,Loosduinen,14/06/1901,algemeen,6917,-,5532,5362,170,1,2681
6254,A. Brummelkamp jr.,AR,1817,33.89%,Loosduinen,14/06/1901,algemeen,6917,-,5532,5362,170,1,2681
6255,J. Pattist,Lib(VL),1016,18.95%,Loosduinen,14/06/1901,algemeen,6917,-,5532,5362,170,1,2681
6256,jhr. J.D. Six,VA,423,7.89%,Loosduinen,14/06/1901,algemeen,6917,-,5532,5362,170,1,2681
6257,A. Brummelkamp jr.,AR(VA),2642,51.47%,Loosduinen,27/06/1901,herstemming,6917,-,5215,5133,82,1,2567
6258,jhr. J.W.J.C.M. van Nispen tot Sevenaer,Ka,2491,48.53%,Loosduinen,27/06/1901,herstemming,6917,-,5215,5133,82,1,2567
6259,mr. A.P.R.C. baron van Borch van Verwolde,AR(Ka),2795,60.79%,Ridderkerk,14/06/1901,algemeen,5286,-,4642,4598,44,1,2299
6260,D. de Klerk,Lib(VL),1803,39.21%,Ridderkerk,14/06/1901,algemeen,5286,-,4642,4598,44,1,2299
6261,mr. D. Fock,Lib(VL),1155,41.37%,Rotterdam I,14/06/1901,algemeen,3844,-,2823,2792,31,1,1396
6262,dr. J.T. de Visser,CHK(AR),1023,36.64%,Rotterdam I,14/06/1901,algemeen,3844,-,2823,2792,31,1,1396
6263,J.P. van Term,Ka,366,13.11%,Rotterdam I,14/06/1901,algemeen,3844,-,2823,2792,31,1,1396
6264,L.M. Hermans,SDAP,248,8.88%,Rotterdam I,14/06/1901,algemeen,3844,-,2823,2792,31,1,1396
6265,mr. D. Fock,Lib(VL/VD/SDAP),1569,52.95%,Rotterdam I,27/06/1901,herstemming,3844,-,2990,2963,27,1,1482
6266,dr. J.T. de Visser,,1394,47.05%,Rotterdam I,27/06/1901,herstemming,3844,-,2990,2963,27,1,1482
6267,D. de Klerk,Lib(VL),1637,43.54%,Rotterdam II,14/06/1901,algemeen,5148,-,3797,3760,37,1,1880
6268,mr. A. de Jong,,1548,41.17%,Rotterdam II,14/06/1901,algemeen,5148,-,3797,3760,37,1,1880
6269,mr. H. Verkouteren,CHK,296,7.87%,Rotterdam II,14/06/1901,algemeen,5148,-,3797,3760,37,1,1880
6270,J.G. van Kuykhof,SDAP,279,7.42%,Rotterdam II,14/06/1901,algemeen,5148,-,3797,3760,37,1,1880
6271,D. de Klerk,Lib(VL/VD),2298,53.96%,Rotterdam II,27/06/1901,herstemming,5148,-,4282,4259,23,1,2130
6272,mr. A. de Jong,,1961,46.04%,Rotterdam II,27/06/1901,herstemming,5148,-,4282,4259,23,1,2130
6273,J.B. Verhey,,1324,51.94%,Rotterdam III,14/06/1901,algemeen,3676,-,2567,2549,18,1,1275
6274,mr. C.A.H. Barge,Ka(AR),826,32.40%,Rotterdam III,14/06/1901,algemeen,3676,-,2567,2549,18,1,1275
6275,jhr.mr. J.H.J. Quarles van Ufford,VA,233,9.14%,Rotterdam III,14/06/1901,algemeen,3676,-,2567,2549,18,1,1275
6276,W.P.G. Helsdingen,SDAP,166,6.51%,Rotterdam III,14/06/1901,algemeen,3676,-,2567,2549,18,1,1275
6277,dr. R.P. Mees R.Az.,VL(Lib),1574,49.87%,Rotterdam IV,14/06/1901,algemeen,4159,-,3186,3156,30,1,1578
6278,mr. D.P.D. Fabius,AR(Ka),1217,38.56%,Rotterdam IV,14/06/1901,algemeen,4159,-,3186,3156,30,1,1578
6279,W.P.G. Helsdingen,SDAP,210,6.65%,Rotterdam IV,14/06/1901,algemeen,4159,-,3186,3156,30,1,1578
6280,mr. H. Verkouteren,CHK,155,4.91%,Rotterdam IV,14/06/1901,algemeen,4159,-,3186,3156,30,1,1578
6281,dr. R.P. Mees R.Az.,VL(Lib/VD),1810,54.40%,Rotterdam IV,27/06/1901,herstemming,4159,-,3351,3327,24,1,1664
6282,mr. D.P.D. Fabius,AR(Ka/VA),1517,45.60%,Rotterdam IV,27/06/1901,herstemming,4159,-,3351,3327,24,1,1664
6283,mr. E.E. van Raalte,Lib,876,31.89%,Rotterdam V,14/06/1901,algemeen,3983,-,2804,2747,57,1,1374
6284,F.J. van Rijswijk,Ka,610,22.21%,Rotterdam V,14/06/1901,algemeen,3983,-,2804,2747,57,1,1374
6285,mr. S. Muller Hzn.,Lib(VL),430,15.65%,Rotterdam V,14/06/1901,algemeen,3983,-,2804,2747,57,1,1374
6286,J.H. de Waal Malefijt,AR,409,14.89%,Rotterdam V,14/06/1901,algemeen,3983,-,2804,2747,57,1,1374
6287,dr. J.T. de Visser,CHK(VA),281,10.23%,Rotterdam V,14/06/1901,algemeen,3983,-,2804,2747,57,1,1374
6288,J.A. Bergmeyer,SDAP,141,5.13%,Rotterdam V,14/06/1901,algemeen,3983,-,2804,2747,57,1,1374
6289,mr. E.E. van Raalte,Lib(VL/VD/SDAP),1683,61.38%,Rotterdam V,27/06/1901,herstemming,3983,-,2778,2742,36,1,1371
6290,F.J. van Rijswijk,Ka(AR/VA),1059,38.62%,Rotterdam V,27/06/1901,herstemming,3983,-,2778,2742,36,1,1371
6291,A.W.F. Idenburg,AR(Ka),2088,47.11%,Schiedam,14/06/1901,algemeen,5775,-,4545,4432,113,1,2216
6292,mr. O.J.H. graaf van Limburg Stirum,VA,1290,29.11%,Schiedam,14/06/1901,algemeen,5775,-,4545,4432,113,1,2216
6293,W.P.G. Helsdingen,SDAP,518,11.69%,Schiedam,14/06/1901,algemeen,5775,-,4545,4432,113,1,2216
6294,mr. C.T. van Deventer,VD,417,9.41%,Schiedam,14/06/1901,algemeen,5775,-,4545,4432,113,1,2216
6295,mr. S. van Houten,VL(Lib),119,2.69%,Schiedam,14/06/1901,algemeen,5775,-,4545,4432,113,1,2216
6296,mr. O.J.H. graaf van Limburg Stirum,VA,2215,50.83%,Schiedam,27/06/1901,herstemming,5775,-,4396,4358,38,1,2179
6297,A.W.F. Idenburg,AR(Ka),2142,49.15%,Schiedam,27/06/1901,herstemming,5775,-,4396,4358,38,1,2179
6298,dr. A. Kuyper,AR(Ka),2311,63.00%,Sliedrecht,14/06/1901,algemeen,5919,-,3775,3668,107,1,1834
6299,D. de Klerk,Lib(VL),1357,37.00%,Sliedrecht,14/06/1901,algemeen,5919,-,3775,3668,107,1,1834
6300,mr. E. Fokker,VD,2590,42.23%,Alkmaar,14/06/1901,algemeen,7824,-,6236,6133,103,1,3067
6301,N. Oosterbaan,AR(Ka),2175,35.46%,Alkmaar,14/06/1901,algemeen,7824,-,6236,6133,103,1,3067
6302,mr. W.C. Bosman,Lib(VL),941,15.34%,Alkmaar,14/06/1901,algemeen,7824,-,6236,6133,103,1,3067
6303,J.G. van Kuykhof,SDAP,427,6.96%,Alkmaar,14/06/1901,algemeen,7824,-,6236,6133,103,1,3067
6304,mr. E. Fokker,VD(VL/SDAP),3888,57.18%,Alkmaar,27/06/1901,herstemming,7824,-,6856,6799,57,1,3400
6305,N. Oosterbaan,AR(Ka/VA),2911,42.82%,Alkmaar,27/06/1901,herstemming,7824,-,6856,6799,57,1,3400
6306,dr. H.F.R. Hubrecht,Lib(VL),1262,45.86%,Amsterdam I,14/06/1901,algemeen,4771,-,2802,2752,50,1,1376
6307,J.F.M. Sterck,Ka(AR),959,34.85%,Amsterdam I,14/06/1901,algemeen,4771,-,2802,2752,50,1,1376
6308,P.L. Tak,SDAP,251,9.12%,Amsterdam I,14/06/1901,algemeen,4771,-,2802,2752,50,1,1376
6309,H.L. van Hasselt,,186,6.76%,Amsterdam I,14/06/1901,algemeen,4771,-,2802,2752,50,1,1376
6310,A.N.J. Fabius,VD,94,3.42%,Amsterdam I,14/06/1901,algemeen,4771,-,2802,2752,50,1,1376
6311,dr. H.F.R. Hubrecht,Lib(VL/VD),1696,61.34%,Amsterdam I,27/06/1901,herstemming,4771,-,2796,2765,31,1,1383
6312,J.F.M. Sterck,Ka(AR/VA),1065,38.52%,Amsterdam I,27/06/1901,herstemming,4771,-,2796,2765,31,1,1383
6313,H.F. Groen van Waarder,VL(Lib),522,35.10%,Amsterdam II,14/06/1901,algemeen,2475,-,1537,1487,50,1,744
6314,dr. J.T. de Visser,CHK(AR),521,35.04%,Amsterdam II,14/06/1901,algemeen,2475,-,1537,1487,50,1,744
6315,J.W. Smit,Ka,187,12.58%,Amsterdam II,14/06/1901,algemeen,2475,-,1537,1487,50,1,744
6316,H.H. Wollring,SDAP,157,10.56%,Amsterdam II,14/06/1901,algemeen,2475,-,1537,1487,50,1,744
6317,F. Mol,VD,100,6.72%,Amsterdam II,14/06/1901,algemeen,2475,-,1537,1487,50,1,744
6318,dr. J.T. de Visser,CHK(Ka/AR/VA),929,54.26%,Amsterdam II,27/06/1901,herstemming,2475,-,1737,1712,25,1,856
6319,H.F. Groen van Waarder,VL(Lib/VD),783,45.74%,Amsterdam II,27/06/1901,herstemming,2475,-,1737,1712,25,1,856
6320,C.H. den Hertog,Lib(VL),1603,37.78%,Amsterdam III,14/06/1901,algemeen,7122,-,4348,4243,105,1,2122
6321,H. Polak,SDAP,1420,33.47%,Amsterdam III,14/06/1901,algemeen,7122,-,4348,4243,105,1,2122
6322,mr. E.A. Smidt,VD,482,11.36%,Amsterdam III,14/06/1901,algemeen,7122,-,4348,4243,105,1,2122
6323,A.C. Bleys,Ka,376,8.86%,Amsterdam III,14/06/1901,algemeen,7122,-,4348,4243,105,1,2122
6324,J.H. de Waal Malefijt,AR,362,8.53%,Amsterdam III,14/06/1901,algemeen,7122,-,4348,4243,105,1,2122
6325,C.H. den Hertog,Lib(VL/Ka/VA),2531,54.52%,Amsterdam III,27/06/1901,herstemming,7122,-,4671,4642,29,1,2321
6326,H. Polak,SDAP(VD),2111,45.48%,Amsterdam III,27/06/1901,herstemming,7122,-,4671,4642,29,1,2321
6327,mr. H. Goeman Borgesius,Lib(VL),1314,54.43%,Amsterdam IV,14/06/1901,algemeen,3634,-,2480,2414,66,1,1207
6328,mr. Z. van den Bergh,VD,647,26.80%,Amsterdam IV,14/06/1901,algemeen,3634,-,2480,2414,66,1,1207
6329,mr. M. Mendels,SDAP,245,10.15%,Amsterdam IV,14/06/1901,algemeen,3634,-,2480,2414,66,1,1207
6330,mr. E.P.F.A. van den Bogaert,Ka(AR),208,8.62%,Amsterdam IV,14/06/1901,algemeen,3634,-,2480,2414,66,1,1207
6331,dr. H.F.R. Hubrecht,,1197,80.01%,Amsterdam IV,11/07/1901,tussentijds,3634,-,1525,1496,29,1,748
6332,F.A. van Hall,,299,19.99%,Amsterdam IV,11/07/1901,tussentijds,3634,-,1525,1496,29,1,748
6333,T.M. Ketelaar,VD,2300,42.64%,Amsterdam V,14/06/1901,algemeen,7840,-,5459,5394,65,1,2697
6334,J. Deen,Lib(VL),1243,23.04%,Amsterdam V,14/06/1901,algemeen,7840,-,5459,5394,65,1,2697
6335,P.W. Sutorius,Ka(AR),1182,21.91%,Amsterdam V,14/06/1901,algemeen,7840,-,5459,5394,65,1,2697
6336,H.P.C.W.H.J.B. van Son,CHK,387,7.17%,Amsterdam V,14/06/1901,algemeen,7840,-,5459,5394,65,1,2697
6337,P.L. Tak,SDAP,282,5.23%,Amsterdam V,14/06/1901,algemeen,7840,-,5459,5394,65,1,2697
6338,T.M. Ketelaar,VD(SDAP),2939,51.16%,Amsterdam V,27/06/1901,herstemming,7840,-,5788,5745,43,1,2873
6339,J. Deen,Lib(VL/AR/Ka),2806,48.84%,Amsterdam V,27/06/1901,herstemming,7840,-,5788,5745,43,1,2873
6340,jhr.mr. C.J. den Tex,Lib(VL),1486,44.68%,Amsterdam VI,14/06/1901,algemeen,5148,-,3448,3326,122,1,1663
6341,H.W. van Marle,AR(Ka),1362,40.95%,Amsterdam VI,14/06/1901,algemeen,5148,-,3448,3326,122,1,1663
6342,mr. C.T. van Deventer,VD,248,7.46%,Amsterdam VI,14/06/1901,algemeen,5148,-,3448,3326,122,1,1663
6343,mr. P.J. Troelstra,SDAP,230,6.92%,Amsterdam VI,14/06/1901,algemeen,5148,-,3448,3326,122,1,1663
6344,jhr.mr. C.J. den Tex,Lib(VL/VD),1936,55.44%,Amsterdam VI,27/06/1901,herstemming,5148,-,3542,3492,50,1,1746
6345,H.W. van Marle,AR(Ka/VA),1556,44.56%,Amsterdam VI,27/06/1901,herstemming,5148,-,3542,3492,50,1,1746
6346,mr. Th. Heemskerk,AR(Ka),1477,56.35%,Amsterdam VII,14/06/1901,algemeen,3805,-,2669,2621,48,1,1311
6347,B.H. Heldt,VD(Lib),1022,38.99%,Amsterdam VII,14/06/1901,algemeen,3805,-,2669,2621,48,1,1311
6348,H.H. Wollring,SDAP,122,4.65%,Amsterdam VII,14/06/1901,algemeen,3805,-,2669,2621,48,1,1311
6349,P. Nolting,VD,596,31.25%,Amsterdam VIII,14/06/1901,algemeen,2987,-,1992,1907,85,1,954
6350,dr. A. Kuyper,AR,574,30.10%,Amsterdam VIII,14/06/1901,algemeen,2987,-,1992,1907,85,1,954
6351,A.J.C.J.S. Bergsma,Lib(VL),334,17.51%,Amsterdam VIII,14/06/1901,algemeen,2987,-,1992,1907,85,1,954
6352,P.H. van Outersterp,Ka,301,15.78%,Amsterdam VIII,14/06/1901,algemeen,2987,-,1992,1907,85,1,954
6353,F.U. Schmidt,SDAP,102,5.35%,Amsterdam VIII,14/06/1901,algemeen,2987,-,1992,1907,85,1,954
6354,P. Nolting,VD(VL/Lib/SDAP),1217,53.97%,Amsterdam VIII,27/06/1901,herstemming,2987,-,2276,2255,21,1,1128
6355,dr. A. Kuyper,AR(Ka/VA),1038,46.03%,Amsterdam VIII,27/06/1901,herstemming,2987,-,2276,2255,21,1,1128
6356,H. Byleveld,,1532,34.07%,Amsterdam IX,14/06/1901,algemeen,7935,-,4661,4497,164,1,2249
6357,dr. C. Lely,Lib(VL),1289,28.66%,Amsterdam IX,14/06/1901,algemeen,7935,-,4661,4497,164,1,2249
6358,A.H. Gerhard,SDAP,877,19.50%,Amsterdam IX,14/06/1901,algemeen,7935,-,4661,4497,164,1,2249
6359,mr. J.A. van Gilse,VD,799,17.77%,Amsterdam IX,14/06/1901,algemeen,7935,-,4661,4497,164,1,2249
6360,dr. C. Lely,Lib(VL/VD/SDAP),2870,58.24%,Amsterdam IX,27/06/1901,herstemming,7935,-,4991,4928,63,1,2464
6361,H. Byleveld,,2058,41.76%,Amsterdam IX,27/06/1901,herstemming,7935,-,4991,4928,63,1,2464
6362,W.C.J. Passtoors,Ka(AR/VA),3885,50.46%,Beverwijk,14/06/1901,algemeen,8381,-,7755,7699,56,1,3850
6363,dr. J. van Loenen Martinet,VD(Lib),3814,49.54%,Beverwijk,14/06/1901,algemeen,8381,-,7755,7699,56,1,3850
6364,N. Sluis Pzn.,,3686,50.18%,Enkhuizen,14/06/1901,algemeen,8005,-,7447,7345,102,1,3673
6365,A. Kool 2,,3415,46.49%,Enkhuizen,14/06/1901,algemeen,8005,-,7447,7345,102,1,3673
6366,A.H. Gerhard,SDAP,244,3.32%,Enkhuizen,14/06/1901,algemeen,8005,-,7447,7345,102,1,3673
6367,jhr.mr. F.W. van Styrum,VL(Lib),1778,35.21%,Haarlem,14/06/1901,algemeen,7133,-,5192,5050,142,1,2525
6368,W.A.J. van de Kamp,Ka,1480,29.31%,Haarlem,14/06/1901,algemeen,7133,-,5192,5050,142,1,2525
6369,F.W.N. Hugenholtz,SDAP,1301,25.76%,Haarlem,14/06/1901,algemeen,7133,-,5192,5050,142,1,2525
6370,N. Oosterbaan,AR,491,9.72%,Haarlem,14/06/1901,algemeen,7133,-,5192,5050,142,1,2525
6371,jhr.mr. F.W. van Styrum,VL(Lib/VD),3135,63.14%,Haarlem,27/06/1901,herstemming,7133,-,5003,4965,38,1,2483
6372,W.A.J. van de Kamp,Ka(AR/VA),1830,36.86%,Haarlem,27/06/1901,herstemming,7133,-,5003,4965,38,1,2483
6373,F.H. van Wichen,Ka,3103,46.03%,Haarlemmermeer,14/06/1901,algemeen,8132,-,6884,6741,143,1,3371
6374,G.B. 't Hooft,AR,2113,31.35%,Haarlemmermeer,14/06/1901,algemeen,8132,-,6884,6741,143,1,3371
6375,J.H. Wentholt,Lib(VL),1160,17.21%,Haarlemmermeer,14/06/1901,algemeen,8132,-,6884,6741,143,1,3371
6376,P. Nolting,VD,365,5.41%,Haarlemmermeer,14/06/1901,algemeen,8132,-,6884,6741,143,1,3371
6377,F.H. van Wichen,Ka,3498,50.10%,Haarlemmermeer,27/06/1901,herstemming,8132,-,7031,6982,49,1,3491
6378,G.B. 't Hooft,AR(VA),3484,49.90%,Haarlemmermeer,27/06/1901,herstemming,8132,-,7031,6982,49,1,3491
6379,A.P. Staalman,AR,2683,51.53%,Den Helder,14/06/1901,algemeen,6816,-,5251,5207,44,1,2604
6380,C.S. Jaring,Lib(VL),2138,41.06%,Den Helder,14/06/1901,algemeen,6816,-,5251,5207,44,1,2604
6381,F.W.N. Hugenholtz,SDAP,386,7.41%,Den Helder,14/06/1901,algemeen,6816,-,5251,5207,44,1,2604
6382,mr. F.J.M.A. Reekers,Ka,1710,30.13%,Hilversum,14/06/1901,algemeen,7789,-,5800,5675,125,1,2838
6383,mr. S. baron van Heemstra 2,,1262,22.24%,Hilversum,14/06/1901,algemeen,7789,-,5800,5675,125,1,2838
6384,J.J.B. Fanoy,VA,1235,21.76%,Hilversum,14/06/1901,algemeen,7789,-,5800,5675,125,1,2838
6385,dr. J. van Loenen Martinet,VD(Lib),892,15.72%,Hilversum,14/06/1901,algemeen,7789,-,5800,5675,125,1,2838
6386,dr. H. Gorter,SDAP,576,10.15%,Hilversum,14/06/1901,algemeen,7789,-,5800,5675,125,1,2838
6387,mr. S. baron van Heemstra 2,AR(VA),3239,58.93%,Hilversum,27/06/1901,herstemming,7789,-,5603,5496,107,1,2748
6388,mr. F.J.M.A. Reekers,Ka,2257,41.07%,Hilversum,27/06/1901,herstemming,7789,-,5603,5496,107,1,2748
6389,P.B.J. Ferf,Lib(VL),2580,58.94%,Hoorn,14/06/1901,algemeen,6481,-,4472,4377,95,1,2189
6390,F.J.A.M. Wierdels,Ka(AR),1167,26.66%,Hoorn,14/06/1901,algemeen,6481,-,4472,4377,95,1,2189
6391,J. de Vries,SDAP,630,14.39%,Hoorn,14/06/1901,algemeen,6481,-,4472,4377,95,1,2189
6392,K. de Boer,Lib(VL),2203,44.59%,Zaandam,14/06/1901,algemeen,7289,-,5032,4941,91,1,2471
6393,mr. M. Mendels,SDAP,1428,28.90%,Zaandam,14/06/1901,algemeen,7289,-,5032,4941,91,1,2471
6394,J.H. Feringa,AR,847,17.14%,Zaandam,14/06/1901,algemeen,7289,-,5032,4941,91,1,2471
6395,F.J.A.M. Wierdels,Ka,463,9.37%,Zaandam,14/06/1901,algemeen,7289,-,5032,4941,91,1,2471
6396,K. de Boer,Lib(VL/Ka/VA),3025,62.18%,Zaandam,27/06/1901,herstemming,7289,-,4906,4865,41,1,2433
6397,mr. M. Mendels,SDAP(VD),1840,37.82%,Zaandam,27/06/1901,herstemming,7289,-,4906,4865,41,1,2433
6398,jhr.mr. A.F. de Savornin Lohman,VA(Ka/AR),2582,61.67%,Goes,14/06/1901,algemeen,5532,-,4234,4187,47,1,2094
6399,G.A. Vorsterman van Oyen,Lib(VL),1605,38.33%,Goes,14/06/1901,algemeen,5532,-,4234,4187,47,1,2094
6400,P.F. Fruijtier,Ka,1689,35.37%,Hontenisse,14/06/1901,algemeen,5814,-,4835,4775,60,1,2388
6401,mr. J.G. van Deinse,Lib(VL),1566,32.80%,Hontenisse,14/06/1901,algemeen,5814,-,4835,4775,60,1,2388
6402,mr. Th. Heemskerk,AR(VA),1520,31.83%,Hontenisse,14/06/1901,algemeen,5814,-,4835,4775,60,1,2388
6403,P.F. Fruijtier,Ka(AR/VA),2578,52.02%,Hontenisse,27/06/1901,herstemming,5814,-,5038,4956,82,1,2478
6404,mr. J.G. van Deinse,Lib(VL/VD),2378,47.98%,Hontenisse,27/06/1901,herstemming,5814,-,5038,4956,82,1,2478
6405,mr. C. Lucasse,AR(Ka),3279,52.01%,Middelburg,14/06/1901,algemeen,7770,-,6397,6305,92,1,3153
6406,A. Smit,Lib(VL),2329,36.94%,Middelburg,14/06/1901,algemeen,7770,-,6397,6305,92,1,3153
6407,J.A. Bergmeyer,SDAP,697,11.05%,Middelburg,14/06/1901,algemeen,7770,-,6397,6305,92,1,3153
6408,mr. P.C.J. Hennequin,VL(Lib),3067,60.80%,Oostburg,14/06/1901,algemeen,6578,-,5139,5044,95,1,2522
6409,J.F. Heemskerk,AR(Ka/VA),1977,39.20%,Oostburg,14/06/1901,algemeen,6578,-,5139,5044,95,1,2522
6410,jhr.mr. J.J. Pompe van Meerdervoort,AR(Ka),2713,52.43%,Zierikzee,14/06/1901,algemeen,5919,-,5204,5175,29,1,2588
6411,J.A. de Bruijne,Lib(VL),2462,47.57%,Zierikzee,14/06/1901,algemeen,5919,-,5204,5175,29,1,2588
6412,jhr.mr. J.J. Pompe van Meerdervoort,,-,enige kandidaat,Zierikzee,17/06/1901,tussentijds/enkelvoudig,5919,-,-,-,-,-,-
6413,jhr.mr. T.A.J. van Asch van Wijck,AR(Ka/VA),2632,59.91%,Amersfoort,14/06/1901,algemeen,7046,-,4553,4393,160,1,2197
